time,target,value
DEF,1,StationToStationAgent/0/implFeed
DEF,2,StationToStationAgent/0/distanceToTarget
DEF,3,StationToStationAgent/0/force
DEF,4,StationToStationAgent/0/segmentId
DEF,5,StationToStationAgent/0/velocity
DEF,6,StationToStationAgent/0/velocity(target)
DEF,7,StationToStationAgent/0/debug
47,2,5435.144
47,3,1000000
47,4,32
47,6,69.44444
47,5,0.047578957
47,7,0.98422074
48,2,5434.596
48,3,1000000
48,4,32
48,6,69.44444
48,5,1.0475788
48,7,0.9996841
49,2,5467.9014
49,3,1000000
49,4,33
49,6,69.44444
49,5,2.0475788
49,7,0.040068377
50,2,5465.354
50,3,1000000
50,4,33
50,6,69.44444
50,5,3.0475788
50,7,0.106508024
51,2,5461.8066
51,3,1000000
51,4,33
51,6,69.44444
51,5,4.047579
51,7,0.1990272
52,2,5457.259
52,3,1000000
52,4,33
52,6,69.44444
52,5,5.047579
52,7,0.31762588
53,2,5451.7114
53,3,1000000
53,4,33
53,6,69.44444
53,5,6.047579
53,7,0.4623041
54,2,5445.1636
54,3,1000000
54,4,33
54,6,69.44444
54,5,7.047579
54,7,0.6330618
55,2,5437.616
55,3,1000000
55,4,33
55,6,69.44444
55,5,8.047579
55,7,0.8298991
56,2,5429.0684
56,3,1000000
56,4,34
56,6,69.44444
56,5,9.047578
56,7,0.029194364
57,2,5419.521
57,3,1000000
57,4,34
57,6,69.44444
57,5,10.047578
57,7,0.16682893
58,2,5408.9736
58,3,1000000
58,4,34
58,6,69.44444
58,5,11.047577
58,7,0.31887916
59,2,5397.426
59,3,1000000
59,4,34
59,6,69.44444
59,5,12.047575
59,7,0.485345
60,2,5384.8784
60,3,1000000
60,4,34
60,6,69.44444
60,5,13.047574
60,7,0.6662265
61,2,5371.3306
61,3,1000000
61,4,34
61,6,69.44444
61,5,14.047573
61,7,0.8615236
62,2,5356.783
62,3,1000000
62,4,35
62,6,69.44444
62,5,15.047572
62,7,0.08986969
63,2,5341.2354
63,3,1000000
63,4,35
63,6,69.44444
63,5,16.047571
63,7,0.37262338
64,2,5324.688
64,3,1000000
64,4,35
64,6,69.44444
64,5,17.047571
64,7,0.6735634
65,2,5307.14
65,3,1000000
65,4,35
65,6,69.44444
65,5,18.047571
65,7,0.9926898
66,2,5288.593
66,3,1000000
66,4,36
66,6,69.44444
66,5,19.047571
66,7,0.58265513
67,2,5269.045
67,3,1000000
67,4,10
67,6,69.44444
67,5,20.047571
67,7,0.028401135
68,2,5248.4976
68,3,1000000
68,4,10
68,6,69.44444
68,5,21.047571
68,7,0.11749355
69,2,5226.9497
69,3,1000000
69,4,10
69,6,69.44444
69,5,22.047571
69,7,0.21092187
70,2,5204.4023
70,3,1000000
70,4,10
70,6,69.44444
70,5,23.04757
70,7,0.3086861
71,2,5180.8545
71,3,1000000
71,4,10
71,6,69.44444
71,5,24.04757
71,7,0.41078624
72,2,5156.307
72,3,1000000
72,4,10
72,6,69.44444
72,5,25.047567
72,7,0.5172223
73,2,5130.76
73,3,1000000
73,4,10
73,6,69.44444
73,5,26.047567
73,7,0.62799424
74,2,5104.212
74,3,1000000
74,4,10
74,6,69.44444
74,5,27.047567
74,7,0.7431021
75,2,5076.6646
75,3,1000000
75,4,10
75,6,69.44444
75,5,28.047567
75,7,0.86254585
76,2,5048.1167
76,3,1000000
76,4,10
76,6,69.44444
76,5,29.047565
76,7,0.9863255
77,2,5018.57
77,3,1000000
77,4,11
77,6,69.44444
77,5,30.047565
77,7,0.09151601
78,2,4988.022
78,3,1000000
78,4,11
78,6,69.44444
78,5,31.047565
78,7,0.19743454
79,2,4956.4746
79,3,1000000
79,4,11
79,6,69.44444
79,5,32.047565
79,7,0.30682042
80,2,4923.927
80,3,1000000
80,4,11
80,6,69.44444
80,5,33.047565
80,7,0.41967362
81,2,4890.3794
81,3,1000000
81,4,11
81,6,69.44444
81,5,34.047565
81,7,0.5359942
82,2,4855.8315
82,3,1000000
82,4,11
82,6,69.44444
82,5,35.047565
82,7,0.65578204
83,2,4820.284
83,3,1000000
83,4,11
83,6,69.44444
83,5,36.047565
83,7,0.77903724
84,2,4783.737
84,3,1000000
84,4,11
84,6,69.44444
84,5,37.047565
84,7,0.90575975
85,2,4746.189
85,3,1000000
85,4,12
85,6,69.44444
85,5,38.047565
85,7,0.027845507
86,2,4707.6416
86,3,1000000
86,4,12
86,6,69.44444
86,5,39.047565
86,7,0.13137242
87,2,4668.0938
87,3,1000000
87,4,12
87,6,69.44444
87,5,40.047565
87,7,0.23758504
88,2,4627.5464
88,3,1000000
88,4,12
88,6,69.44444
88,5,41.047565
88,7,0.34648335
89,2,4585.9985
89,3,1000000
89,4,12
89,6,69.44444
89,5,42.047565
89,7,0.45806736
90,2,4543.451
90,3,1000000
90,4,12
90,6,69.44444
90,5,43.047565
90,7,0.57233703
91,2,4499.904
91,3,1000000
91,4,12
91,6,69.44444
91,5,44.047565
91,7,0.68929243
92,2,4455.356
92,3,1000000
92,4,12
92,6,69.44444
92,5,45.04756
92,7,0.8089335
93,2,4409.8086
93,3,1000000
93,4,12
93,6,69.44444
93,5,46.047558
93,7,0.9312602
94,2,4363.2607
94,3,1000000
94,4,13
94,6,69.44444
94,5,47.047554
94,7,0.04378731
95,2,4315.713
95,3,1000000
95,4,13
95,6,69.44444
95,5,48.04755
95,7,0.14315274
96,2,4267.1655
96,3,1000000
96,4,13
96,6,69.44444
96,5,49.047546
96,7,0.24460797
97,2,4217.618
97,3,1000000
97,4,13
97,6,69.44444
97,5,50.047546
97,7,0.348153
98,2,4167.0703
98,3,1000000
98,4,13
98,6,69.44444
98,5,51.047546
98,7,0.45378783
99,2,4115.523
99,3,1000000
99,4,13
99,6,69.44444
99,5,52.047543
99,7,0.5615125
100,2,4062.9753
100,3,1000000
100,4,13
100,6,69.44444
100,5,53.04754
100,7,0.67132694
101,2,4009.4277
101,3,1000000
101,4,13
101,6,69.44444
101,5,54.047535
101,7,0.7832312
102,2,3954.8804
102,3,1000000
102,4,13
102,6,69.44444
102,5,55.047535
102,7,0.89722526
103,2,3899.3328
103,3,1000000
103,4,14
103,6,69.44444
103,5,56.047535
103,7,0.0103079155
104,2,3842.7854
104,3,1000000
104,4,14
104,6,69.44444
104,5,57.047535
104,7,0.10183332
105,2,3785.2378
105,3,1000000
105,4,14
105,6,69.44444
105,5,58.047535
105,7,0.19497728
106,2,3726.6902
106,3,1000000
106,4,14
106,6,69.44444
106,5,59.047535
106,7,0.28973982
107,2,3667.1426
107,3,1000000
107,4,14
107,6,69.44444
107,5,60.047535
107,7,0.3861209
108,2,3606.5952
108,3,1000000
108,4,14
108,6,69.44444
108,5,61.04753
108,7,0.48412052
109,2,3545.0476
109,3,1000000
109,4,14
109,6,69.44444
109,5,62.04753
109,7,0.5837387
110,2,3482.5
110,3,1000000
110,4,14
110,6,69.44444
110,5,63.04753
110,7,0.68497545
111,2,3418.9526
111,3,1000000
111,4,14
111,6,69.44444
111,5,64.04753
111,7,0.78783077
112,2,3354.405
112,3,879382.3
112,4,14
112,6,69.44444
112,5,65.04753
112,7,0.8923046
113,2,3288.9177
113,3,703506.5
113,4,14
113,6,69.44444
113,5,65.92691
113,7,0.9982994
114,2,3222.6392
114,3,562805.2
114,4,15
114,6,69.44444
114,5,66.63042
114,7,0.094745286
115,2,3155.7273
115,3,450244.12
115,4,15
115,6,69.44444
115,5,67.19322
115,7,0.19193637
116,2,3088.309
116,3,360195.94
116,4,15
116,6,69.44444
116,5,67.64346
116,7,0.2898632
117,2,3020.4854
117,3,288156.12
117,4,15
117,6,69.44444
117,5,68.00366
117,7,0.38837862
118,2,2952.3376
118,3,230525.2
118,4,15
118,6,69.44444
118,5,68.29182
118,7,0.48736492
119,2,2883.9307
119,3,184419.25
119,4,15
119,6,69.44444
119,5,68.52235
119,7,0.5867279
120,2,2815.3162
120,3,147535.7
120,4,15
120,6,69.44444
120,5,68.706764
120,7,0.68639225
121,2,2746.5356
121,3,118028.26
121,4,15
121,6,69.44444
121,5,68.8543
121,7,0.7862977
122,2,2677.6223
122,3,94422.914
122,4,15
122,6,69.44444
122,5,68.97233
122,7,0.886396
123,2,2608.6028
123,3,75538.63
123,4,15
123,6,69.44444
123,5,69.06675
123,7,0.9866486
124,2,2539.4983
124,3,60430.906
124,4,16
124,6,69.44444
124,5,69.14229
124,7,0.11099372
125,2,2470.3257
125,3,48344.42
125,4,16
125,6,69.44444
125,5,69.20272
125,7,0.2391421
126,2,2401.0989
126,3,38674.926
126,4,16
126,6,69.44444
126,5,69.25107
126,7,0.36739126
127,2,2331.8284
127,3,30940.246
127,4,16
127,6,69.44444
127,5,69.28974
127,7,0.495721
128,2,2262.5232
128,3,24752.809
128,4,16
128,6,69.44444
128,5,69.32068
128,7,0.6241152
129,2,2193.1902
129,3,19801.33
129,4,16
129,6,69.44444
129,5,69.345436
129,7,0.75256103
130,2,2123.835
130,3,15841.675
130,4,16
130,6,69.44444
130,5,69.365234
130,7,0.88104814
131,2,2054.4617
131,3,12673.95
131,4,17
131,6,69.44444
131,5,69.38107
131,7,0.0066052843
132,2,1985.0742
132,3,10139.465
132,4,17
132,6,69.44444
132,5,69.393745
132,7,0.095345214
133,2,1915.6754
133,3,8111.5723
133,4,17
133,6,69.44444
133,5,69.403885
133,7,0.18409973
134,2,1846.2676
134,3,6491.089
134,4,17
134,6,69.44444
134,5,69.41199
134,7,0.27286592
135,2,1776.8523
135,3,5192.566
135,4,17
135,6,69.44444
135,5,69.41848
135,7,0.36164144
136,2,1707.4312
136,3,4153.4424
136,4,17
136,6,69.44444
136,5,69.423676
136,7,0.45042443
137,2,1638.0054
137,3,3323.3643
137,4,17
137,6,69.44444
137,5,69.427826
137,7,0.5392134
138,2,1568.5759
138,3,2658.081
138,4,17
138,6,69.44444
138,5,69.43115
138,7,0.6280072
139,2,1499.1436
139,3,2127.0752
139,4,17
139,6,69.44444
139,5,69.43381
139,7,0.71680474
140,2,1429.7085
140,3,1702.8809
140,4,17
140,6,69.44444
140,5,69.43593
140,7,0.8056054
141,2,1360.2717
141,3,1362.6099
141,4,17
141,6,69.44444
141,5,69.43763
141,7,0.89440846
142,2,1290.8335
142,3,1089.4775
142,4,17
142,6,69.44444
142,5,69.438995
142,7,0.9832135
143,2,1221.3942
143,3,869.751
143,4,18
143,6,69.44444
143,5,69.440094
143,7,0.073874936
144,2,1151.9536
144,3,695.8008
144,4,18
144,6,69.44444
144,5,69.44096
144,7,0.16497
145,2,1082.5123
145,3,555.4199
145,4,18
145,6,69.44444
145,5,69.441666
145,7,0.25606608
146,2,1013.0704
146,3,444.03076
146,4,18
146,6,69.44444
146,5,69.44222
146,7,0.347163
147,2,943.6279
147,3,-677742
147,4,18
147,6,66.053955
147,5,69.442665
147,7,0.43826059
148,2,874.5242
148,3,-1509647.4
148,4,18
148,6,61.216694
148,5,68.76493
148,7,0.5289139
149,2,806.51404
149,3,-2000000
149,4,18
149,6,56.455982
149,5,67.25528
149,7,0.6181325
150,2,740.2588
150,3,-2000000
150,4,18
150,6,51.818115
150,5,65.25528
150,7,0.705049
151,2,676.0035
151,3,-2000000
151,4,18
151,6,47.320244
151,5,63.255283
151,7,0.7893418
152,2,613.7482
152,3,-2000000
152,4,18
152,6,42.962376
152,5,61.255283
152,7,0.87101096
153,2,553.4929
153,3,-2000000
153,4,18
153,6,38.744503
153,5,59.255283
153,7,0.95005643
